Reading additional input from stdin...
OpenAI Codex v0.137.0
--------
workdir: /Users/abdslm/Desktop/SOLIDER-REID
model: gpt-5.5
provider: openai_http
approval: never
sandbox: read-only
reasoning effort: xhigh
reasoning summaries: none
session id: 019eeeaa-8e3a-7b72-bdee-6706a8228e9e
--------
user
Review experiments/cargo_cvpb/afd_train.py, focus on the NEW --ovli OVLIHead (Opposite-View Late-Interaction Evidence Alignment): token proj (Conv2d 2048->256 on a layer4 feature-map hook, adaptive-pool to 8x4 grid, L2-norm per token), opposite-view supervised-contrastive loss score=alpha*cos(global)+(1-alpha)*sym_MaxSim(bidirectional mean-max), logsumexp multi-positive, tau0.05 alpha0.5, lambda warmup --ovli_warmup. 逐行查: bug/runtime/shape/device/AMP数值安全; ★proj新参数是否正确加进optimizer(list(model.parameters())+list(ovli.parameters())+assert自检, 这是关键); MaxSim/logsumexp数值(无NaN, empty-candidate用-1e4 floor); train/test对称(eval默认global-only, --ovli_rerank可选); --ovli off精确复现baseline; --ovp/--ovli互斥。用web search查novelty撞车: opposite-view/cross-view token-set late-interaction(ColBERT/MaxSim)作为training-time cross-view retrieval loss 在 aerial-ground 或 person ReID 的先例(对比CM-EMD/G2DA VI-ReID OT, CVFT geo-localization, DTST token selection, CMPC prototype)。输出 Verdict(approve/needs-attention)+findings(severity Critical/High/Medium/Low)。
codex
我会按 code review 方式处理：先读项目接手文档和目标文件，定位 OVLI 参数接入、shape/device/AMP/数值路径，再补一轮 web novelty 对照。
exec
/bin/zsh -lc "sed -n '1,220p' experiments/results.md" in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
# 实验结果总表 — Phase 2: Pure Pose Heatmap

## 数据集: Occluded-Duke

### 无后处理（纯模型结果）

> 注：本节默认记录各实验的**首次单 seed / 单 checkpoint**结果，用于保留搜索轨迹；是否能作为论文主结论，以文末 **4090 多种子验证** 为准。

| ID | 方法 | mAP | R-1 | R-5 | R-10 | vs Baseline | 备注 |
experiments/results.md:173:| **maxsim_paa_roa 1:2** | **PAA+ROA (exp067) + MaxSim Hybrid** | **63.5%** | **75.4%** | **86.2%** | **88.9%** | **🟢🟢🟢🟢 vs PAA+ROA eq_concat(62.0/73.7): +1.5/+1.7。跨 checkpoint 稳定正向** |
experiments/results.md:174:| 152b-eq | MaxSim Hard Triplet Training (tau=0.005, eq_concat) | 57.8% | 69.7% | — | 86.8% | ❌ vs exp030a-eq: **-3.3/-4.0**。MaxSim training 严重损害特征 |
experiments/results.md:175:| 152b-ms | MaxSim Hard Triplet Training (maxsim_hybrid 1:2) | 59.0% | 71.0% | 83.8% | 87.2% | ❌ vs exp030a maxsim: **-3.2/-3.5**。即使 MaxSim test 也无法回补 |
experiments/results.md:176:| 152-eq | MaxSim Soft Triplet Training (tau=0.05, eq_concat) | 57.8% | 70.3% | — | 87.4% | ❌ vs exp030a-eq: **-3.3/-3.4**。与 hard 版结果一致 |
experiments/results.md:177:| 153-eq | MaxSim Additive w=0.25 (eq_concat) | 60.6% | 72.3% | — | 88.0% | 🟡 中性 vs exp030a-eq: **-0.5/-1.4**。不有害但无增益 |
experiments/results.md:178:| 153-ms | MaxSim Additive w=0.25 (maxsim_hybrid 1:2) | 61.8% | 74.3% | 85.1% | 88.4% | 🟡 中性 vs exp030a maxsim: **-0.4/-0.2** |
experiments/results.md:179:| 153b-eq | MaxSim Additive w=1.0 (eq_concat) | 57.6% | 70.0% | — | 87.1% | ❌ vs exp030a: **-3.5/-3.7**。w=1.0 崩了，与 replace 模式一致 |
experiments/results.md:186:| **157-ms** | **PLBOA + MaxSim hybrid 1:2** | **64.1%** | **75.0%** | **86.4%** | **89.8%** | **🟢🟢🟢🟢 项目最高！vs baseline maxsim: +1.9/+0.5** |
experiments/results.md:988:- PKC=0.05 不改变 equal_concat (= exp206r)，但 MaxSim 提升 +0.1/+0.2。
experiments/results.md:1007:### MaxSim Hybrid 跨 checkpoint 分析 (exp206 local)
experiments/results.md:1009:| Epoch | equal_concat | maxsim_hybrid | MaxSim gain |
experiments/results.md:1017:- MaxSim gain 在 +1.5~1.8% 范围内稳定，不依赖训练阶段。
experiments/results.md:1060:- MaxSim gain 仅 +0.2 (vs 通常 +1.7) — PADPQ 破坏 cross-image keypoint consistency
experiments/results.md:1062:- **mAP 正向是确认的，但 R1 代价和 MaxSim 兼容性问题限制了实用价值。**
experiments/results.md:1174:**exp241 MaxSim test**: 64.1/74.8 (MaxSim gain +0.4/-0.5 vs equal_concat)
experiments/results.md:1212:**exp244 MaxSim test**: 66.0/76.4/87.2/90.5 (MaxSim hybrid on LGPA-D+OA-SD ep120)
experiments/results.md:1225:**exp245g MaxSim test**: 71.9/82.2/91.0/92.8 (MaxSim hybrid on Small LGPA-D+OA-SD ep120)
experiments/results.md:1239:**exp245h_v2 MaxSim test**: 73.0/82.7/90.5/92.7 (MaxSim hybrid on ep120)
experiments/results.md:1242:- vs exp245g MaxSim (71.9/82.2): **+1.1/+0.5** — **Small 新最强!**
experiments/results.md:1256:**exp246b MaxSim test**: 66.3/77.7/87.6/90.6 (MaxSim hybrid on LGPA-D+GCN ep120)
experiments/results.md:1258:- vs exp244 MaxSim (66.0/76.4): **+0.3/+1.3** — **Tiny 新最强!**
experiments/results.md:1278:| MaxSim (无学习) | 66.0% | 76.4% | +0.7/+0.7 |
experiments/results.md:1282:- 简单 MaxSim 反而有效。此方向不再继续。
experiments/results.md:1304:- **下一步: MaxSim test on final checkpoint**
experiments/results.md:1306:**exp249 MaxSim test (ep120 final)**:
experiments/results.md:1311:| **exp249 MaxSim** | **73.3%** | **83.2%** | **90.9%** | **93.0%** |
experiments/results.md:1313:- MaxSim gain: +1.4/+1.4
experiments/results.md:1314:- **vs exp245h_v2 MaxSim (73.0/82.7): +0.3/+0.5 — 全面超越!**
experiments/results.md:1315:- **exp249 是项目新最佳: 73.3/83.2 (Small LGPA-D+GCN+OA-SD MaxSim)**
experiments/results.md:1328:| **MaxSim hybrid** | **66.6%** | 78.3% | **+1.4/+2.1** |
experiments/results.md:1330:- POT m=0.6 最佳: mAP 略逊 MaxSim (-0.2), **R1 超越 MaxSim (+0.4)**
experiments/results.md:1331:- 5-part POT ≈ MaxSim，差异不够论文主线
experiments/results.md:1341:| **MaxSim hybrid** | 72.8% | **83.7%** | +1.0/+2.6 |
experiments/results.md:1342:| MaxSim+POT 0.3 | 72.5% | 83.3% | -0.3 vs MaxSim |
experiments/results.md:1344:- **POT mAP 73.0 > MaxSim mAP 72.8** — Small 上 POT mAP 超越 MaxSim!
experiments/results.md:1345:- MaxSim R1 83.7 > POT R1 83.1 — MaxSim R1 更强
experiments/results.md:1346:- 两者互补: POT 更好排序 (mAP), MaxSim 更好找 top-1 (R1)
experiments/results.md:1347:- MaxSim+POT 组合反而降低 — 信号冲突
experiments/results.md:1378:| Config | mAP | R1 | MaxSim mAP | MaxSim R1 |
experiments/results.md:1383:- **MaxSim 73.8 > KPR w/o prompt 73.3!** 我们不用 prompt 就超越了 KPR 无 prompt
experiments/results.md:1402:| exp255 MaxSim ep100 | 73.3% | 83.4% | — | — | +0.2/+0.3 (同epoch) |
experiments/results.md:1404:- GCN512 + 2-stage PSG: equal_concat +1.3 mAP, 但 MaxSim 口径仅 +0.2
experiments/results.md:1412:| 变体 | mAP | R1 | MaxSim | vs baseline |
experiments/results.md:1448:| exp259b MaxSim | 73.6% | 83.7% | +0.1/-0.1 | MaxSim 也持平 |
experiments/results.md:1461:| **exp255 MaxSim Hybrid** | **74.1%** | **84.6%** | **+0.9/+1.3** | **ep120 final, gw=1.0** |
experiments/results.md:1466:| exp259b MaxSim+flip | 75.1% | 85.4% | — | OA-SD=2.0, 略低于 exp255 (-0.1/-0.2) |
experiments/results.md:1469:| **exp255 MaxSim+flip** | **75.2%** | **85.6%** | **+2.0/+2.3** | **⭐⭐⭐ 目标达成! flip-test+MaxSim** |
experiments/results.md:1471:**⭐⭐⭐⭐⭐ 75/85 目标达成! MaxSim+flip = 75.2/85.6 on Swin-Small!**
experiments/results.md:1472:- Flip-test TTA 额外贡献: +1.1/+1.0 (MaxSim 74.1→75.2, MaxSim R1 84.6→85.6)
experiments/results.md:1481:- exp260 MaxSim+flip: 74.7/84.6 (仍低于 Small 75.2/85.6)
experiments/results.md:1488:| exp260b MaxSim+flip ep100 | 75.4% | 84.9% | — | — | +0.2/-0.7 (非final) |
experiments/results.md:1492:- **exp260b MaxSim+flip FINAL: 75.4/84.8** (vs Small 75.2/85.6 = +0.2/-0.8)
experiments/results.md:1493:- Base mAP 更强但 R1 略弱。MaxSim+flip 提升幅度 Base < Small (+1.5 vs +2.0 mAP)
experiments/results.md:1503:| exp260b Market MaxSim+flip | 94.7% | 97.2% | — | — | |
experiments/results.md:1505:| **exp260b Market→Occluded-ReID (MaxSim+flip)** | **88.0%** | **90.6%** | — | — | **跨数据集 MaxSim+flip** |
experiments/results.md:1509:> 新协议: `equal_concat + flip-test` 默认；`MaxSim hybrid 1:2` 独立一行(需 `eval_fliptest_maxsim.py` 事后跑)。  
experiments/results.md:1513:| Exp ID | Backbone | Dataset | eq_concat+flip mAP / R1 | MaxSim hybrid mAP / R1 | 备注 |
experiments/results.md:1517:| exp263 | Swin-Base | Occ-Duke | **e100 eff FINAL: 72.5 / 81.8 (Global+flip), 74.5 / 84.0 (MaxSim+flip)** | ✓ @ 2026-04-20 09:01 srvB | ⚠️ e100 eval OOM-killed (内存 13.2G 触 16G),ckpt 100 完整,不重训。MaxSim hybrid+flip **74.5/84.0** 超 KPR w/o prompt +1.2/+1.5 |
experiments/results.md:1520:| exp263b | Swin-Base | Occ-Duke (seed 42 restart full 120) | **73.5 / 81.5 (train eq_concat), 74.8 / 84.0 (MaxSim+flip)** | ✓ e120 FINAL @ 2026-04-23 16:47:17 lab4090 4090 TEST.IMS_PER_BATCH 64 (R5=90.2 R10=92.3). MaxSim Global 72.4/81.4, hybrid 74.8/84.0 (+1.3/+2.5 vs eq_concat)。**vs exp263 old e100 eff 72.5/81.8 (eq) / 74.5/84.0 (MaxSim) Δ=+0.3/0** (MaxSim 侧 full 120 微优)。vs exp263d s41 MaxSim 75.2/84.8 Δ=-0.4/-0.8 (**seed 41 > seed 42 再次 confirmed**)。论文 Base OD 主表仍用 exp263d (seed 41 最强), exp263b 作 seed 42 full 120 复现点 |
experiments/results.md:1521:| exp294 | Swin-Base | Occ-Duke (LGPA-only / Full-GCN s41) | **74.0 / 82.6 (eq+flip), 75.0 / 84.4 (MaxSim+flip)** | ✓ e120 FINAL @ 2026-04-24 02:18:48 lab4090 TEST.IMS_PER_BATCH 64 (R5=90.5 R10=92.4). Global 73.5/83.3, **MaxSim 75.0/84.4** (+1.0/+1.8 vs eq_concat)。**vs exp263d Full+GCN s41**: eq 74.1/83.3 → -0.1/-0.7, **MaxSim 75.2/84.8 → -0.2/-0.4** (GCN 冗余双评测模式都验证)。vs exp263b Full+GCN s42 MaxSim 74.8/84.0: **+0.2/+0.4** (Full-GCN s41 > Full+GCN s42)。补 Phase 3-C Base 行, **3-backbone 统一结论 GCN 可移除** |
experiments/results.md:1530:| exp269 | Swin-Base | Market | **e80 eff FINAL: 94.4 / 97.0 (Global+flip), 94.5 / 97.1 (MaxSim+flip)** | ✓ @ 2026-04-20 13:xx srvA | ⚠️ e80 eval OOM-killed 同 exp263 模式,ckpt80 完整,不重训。Base 对 Small 优势小(Market 已饱和) |
experiments/results.md:1531:| exp269b | Swin-Base | Market (seed 42 restart full 120, PLBOA OFF) | **94.5 / 97.2 (eq+flip), 94.6 / 97.2 (MaxSim+flip)** | ✓ e120 FINAL @ 2026-04-24 01:17:24 srvC 5060Ti TEST.IMS_PER_BATCH 64 (R5=99.1 R10=99.5). Global+flip 94.4/97.1, **MaxSim 94.6/97.2** (+0.1 mAP vs eq_concat)。**vs exp269 orig e80 eff**: eq 94.4/97.0 → +0.1/+0.2; MaxSim 94.5/97.1 → +0.1/+0.1。vs exp268 Small 94.3/97.3 Δ=+0.2/-0.1。vs exp293b Base PLBOA ON 93.8/97.2 Δ=+0.7/0 (**PLBOA 净 -0.7 mAP**)。**论文 Market Base 主数字升级 eq 94.5/97.2 / MaxSim 94.6/97.2** |
experiments/results.md:1587:> post-PRCV（PRCV 已投后）的复现/multi-seed/LR sweep/loss-weight sweep/SOTA push。**整体结论：无一超越已投 baseline**，产出是消融素材而非训练端涨点。`eq` = equal_concat+flip（train-side 默认）；`MaxSim` = MaxSim hybrid+flip（test-time 后处理，**不算训练端贡献**）。Δ 用 MaxSim 口径。
experiments/results.md:1594:| Exp ID | Backbone | 关键改动（对照变量） | 机器 / seed | eq+flip mAP/R1 | MaxSim+flip mAP/R1 | vs baseline Δ (MaxSim) | 一句结论 |
experiments/results.md:1600:| exp299 | Swin-Base | **PLBOA OFF** | srvC(5060Ti) / 41 | 70.9 / 78.0 | 72.7 / 80.5 | vs exp296 PLBOA ON: **-2.2 / -3.3** | OD 上 PLBOA net positive **+2.2 mAP MaxSim**；与 Market 上 PLBOA 有害形成 dataset-specific claim |
experiments/results.md:1602:| exp301 | Swin-Small | **LGPA OFF**（Phase 3-D） | lab4090 / 42 | 71.9 / 83.0 | 71.9 / 83.0（MaxSim **0 boost**） | vs exp285b Full 74.7/84.8: **-2.8 / -1.8** | LGPA 贡献 +2.8 mAP MaxSim；移除 LGPA → MaxSim 失去 boost（LGPA 是 MaxSim 主驱动） |
experiments/results.md:1603:| exp302 | Swin-Base | Full Scaffold seed 42（multi-seed 第3） | srvA(5060Ti) / 42 | 73.3 / 81.4 | 74.4 / 83.6 | vs exp263d 75.2/84.8: **-0.8 / -1.2** | Base 3-seed(41/1234/42) MaxSim mAP mean **74.87 std 0.42**；主行仍用 exp263d |
experiments/results.md:1605:| exp304 | Swin-Small | Full Scaffold seed 2024（multi-seed 第3） | srvC(5060Ti) / 2024 | 73.3 / 82.7 | 74.3 / 84.0 | vs exp295 75.2/85.4: **-0.9 / -1.4** | Small 3-seed(42/1234/2024) MaxSim mAP mean **74.7 std 0.45**；主行仍用 exp295 |
experiments/results.md:1609:| Exp ID | Backbone | 关键改动 | 机器 / seed | eq+flip mAP/R1 | MaxSim+flip mAP/R1 | vs baseline Δ (MaxSim) | 一句结论 |
experiments/results.md:1611:| exp305 | Swin-Tiny | **LGPA OFF**（mirror exp301） | lab4090 / 42 | 64.5 / 76.0 | 64.5 / 76.0（**0 boost**） | vs exp261 67.2/78.6: **-2.7 / -2.6** | LGPA 贡献 +2.7 mAP MaxSim（+1.4 eq）；Phase 3-D Tiny+Small 双 backbone 完整 |
experiments/results.md:1618:| Exp ID | Backbone | 关键改动 | 机器 / seed | eq+flip mAP/R1 | MaxSim+flip mAP/R1 | vs baseline Δ (MaxSim) | 一句结论 |
experiments/results.md:1626:| exp317 | Swin-Tiny | **POSE_LGPA_ASSIGN_WEIGHT 0.25**（LGPA aux ÷2） | lab3090 / 42 | 66.2 / 77.4 | 67.4 / 78.6 | vs exp261: **+0.2 / 0** ⭐ | sweep 中**唯一 MaxSim 超 baseline**(+0.2)，但在 multi-seed std 内，需 Small 验证 |
experiments/results.md:1652:### exp324: frozen DINOv2 emergent correspondence + pose-anchored part-MaxSim（inference-only，非训练）
experiments/results.md:1654:> post-PRCV「搬范式」#2 路线。frozen DINOv2-base（lab-3090-d, RTX 3090），全量 Occluded-Duke（2210 query × 17661 gallery，无后处理、无训练）。脚本 `scripts/exp324_dino.py`。输入 224W×448H → patch grid 32×16。keypoints 缩放到 grid → 每部位 3×3 窗均值池化成 5 个 part 向量 + per-part visibility，跨图只比 mutually-visible part 的 per-part cosine（part-MaxSim）。重遮挡子集 = query visibility_binary.sum()≤8（989/2210）。**training-free，不计入主表增益。**
experiments/results.md:1660:| **(b) pose part-MaxSim** | **3.21 / 7.87** | **1.86 / 3.54** |
experiments/results.md:1661:| (c) grid part-MaxSim（均匀 5 带，无 pose） | 0.89 / 1.63 | 0.67 / 1.21 |
experiments/results.md:1669:### exp327: 更强/更新冻结对应特征源（DINOv2-with-registers）— pose-part-MaxSim training-free 天花板 check（inference-only）
experiments/results.md:1671:> 同 exp324 pipeline（pose 锚定 5-part + mutually-visible part-MaxSim + 重遮挡 vis.sum()≤8），**唯一变量=特征源**。hyy GPU1（5060 Ti），slim pose data（剥 heatmap，数值与 exp324 一致）。脚本 `scripts/exp327_dinov3.py`。**training-free，不计入主表增益。** DINOv3-vitb16 gated（hf-mirror 需 token）下不了，改用 ungated 的 `facebook/dinov2-with-registers-base`（registers 去 high-norm artifact token，更干净 dense 特征，patch14 grid 32×16，nreg=4）。
experiments/results.md:1677:| **(b) pose part-MaxSim** | **3.85 / 8.60** | **2.15 / 3.84** |
experiments/results.md:1678:| (c) grid part-MaxSim（均匀 5 带） | 1.04 / 1.67 | 0.72 / 0.71 |
experiments/results.md:1684:### exp326: DIFT（Stable-Diffusion emergent correspondence）— pose-part-MaxSim training-free（inference-only）
experiments/results.md:1691:| **(b) pose part-MaxSim** | **0.92 / 2.58** | **0.73 / 1.42** |
experiments/results.md:1692:| (c) grid part-MaxSim（均匀 5 带） | 0.39 / 1.09 | 0.35 / 0.81 |
experiments/results.md:1701:> exp324d = LoRA 解冻 DINOv2-base/large + 可微 pose-part-MaxSim（破 exp324b 冻结天花板）。exp324i = 在其上加跨网络跨协方差解相关损失（逼 DINO-global 与 frozen-Swin-global 线性无关）。Occluded-Duke，BS=64，rank16 除非标注。**单分支 part-MaxSim = 纯模型；fusion(⊕Swin) = test-time 后处理(NFC 级)，不计训练端增益。**
experiments/results.md:1703:**(1) 纯模型 — LoRA 破冻结天花板 + capacity 对照（part-MaxSim，e30 除非标注）**
experiments/results.md:1717:**(2) 解相关对照 — decorr 打不破"判别性-互补性张力"（exp324i e10 matched oracle，vs Swin MaxSim 75.16/72.57）**
experiments/results.md:1726:- decorr loss 活跃(0.041)却完全没动 Jaccard/oracle/fusion → **显式全局线性解相关对 part-MaxSim 排序正交**，张力鲁棒。fusion +0.37 是 NFC 级后处理（w≥0.4 转负），非 beat-SOTA。
experiments/exp315_tiny_lgpaW1_s42/monitor.md:12:- **MaxSim hybrid+flip**: **67.0 / 77.4**
experiments/exp315_tiny_lgpaW1_s42/monitor.md:33:vs exp261 baseline (default 0.5): 65.9/77.4 eq, **67.2/78.6 MaxSim**
experiments/exp315_tiny_lgpaW1_s42/monitor.md:39:| **MaxSim** | **67.0/77.4** | **67.2/78.6** | **-0.2/-1.2** |
experiments/exp315_tiny_lgpaW1_s42/monitor.md:43:POSE_LGPA_ASSIGN_WEIGHT 1.0 (vs default 0.5) MaxSim **net -0.2 mAP / -1.2 R1**。slight net negative。LGPA aux 加倍 hurt R1 显著, mAP 在 noise 内。

codex
我看到 sampler 只是每个 PID 抽 K 张，不强制 Aerial/Ground 配对；OVLI loss 对无 opposite-view positive 的 anchor 会跳过。这个不是 runtime bug，但会影响有效 batch 占比，后面会作为风险/监控项处理。
exec
/bin/zsh -lc "sed -n '1,240p' experiments/cargo_cvpb/design.md" in /Users/abdslm/Desktop/SOLIDER-REID
exec
/bin/zsh -lc "sed -n '1,260p' experiments/cargo_cvpb/claude_review.md" in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
# Claude Broad Review — CVPB (OVP-Mem) 启动前广范围审查

**日期**: 2026-06-22
**审查对象**: `experiments/cargo_cvpb/{design.md, afd_train.py, maxsim_probe.py}` + 对照 `experiments/afd_reid/{afd_train.py, afd_model.py, cargo_dataset.py}`
**审查方法**: 主 agent 逐行 + 2 个并行子代理(numerics / novelty)交叉 + 4 处关键点本地脚本验证(cold-start CE、autocast 下溢、import 解析、baseline 复现路径)
**结论**: **需修改 → H1 已修复, 审查通过**(可训练，但有 1 个 High 必须先处理 + 若干 Medium 强烈建议处理；无 Critical 阻断性 bug)

> **★ 修复确认(2026-06-22, 主 agent)**: H1 训练动力学已修——`afd_train.py` 加 `--ovp_warmup`(默认 10), 对 OVP lambda 做线性 warmup(`ovp_lambda_eff = ovp_lambda·min(1, epoch/ovp_warmup)`), 避免冷启动稀疏 + tau=0.05 的早期梯度尖峰; epoch summary 加 `OVP[lam_eff inited=X/2N]` 日志监控冷启动原型初始化进度。放行条件满足 → **审查通过, 可启动 kill-switch #2 训练**。H2/M5 novelty 撞车(PDPA/CMPC/MBCE)是进稿前 framing 问题(OVP 当组件不当 headline, 用 Local-MaxSim 集合匹配差异化), 不阻断 empirical 涨点训练。

---

## 总评

OVP-Mem 的工程实现是**正确且不会崩**的：无 NaN/inf 路径、梯度隔离干净(bank 是 buffer 不回传)、dtype 一致、`--ovp` off 精确复现 baseline。kill-switch #1(maxsim probe)已 PASS(+0.86)且 pipeline 复现 32.48 准确。

但有两类问题必须在"启动前"摆上台面：

1. **训练动力学风险(High×2)**：早期 epoch OVP loss 会**结构性退化为零梯度**(冷启动稀疏 + 单列有效 → CE=0)，同时 `tau=0.05` 在随机原型上会给出**尖锐梯度尖峰**。两者叠加 → OVP 的 `meters['ovp']` 早期打印 ~0 不是收敛而是退化，监控会被误导，且 λ 早期实际不起作用。这不是 bug，但会让 kill-switch #2("ep10/20 ≥+1.0")的判读失真。
2. **novelty 撞车(High，方法稿层面)**：子代理联网查重判定 **likely-prior-art-collision**。"per-view identity EMA prototype + opposite-view InfoNCE"与 **CMPC(CVPR22)** 近乎逐字同构(只是 voice-face→aerial-ground、无监督→有监督)，且 **PDPA(2025, 同 CARGO)** 已占用"aerial-ground 上 prototype alignment"的命名与 framing。作为 empirical 涨点模块没问题；作为 headline 贡献过不了 novelty review。

下面分级列出。**所有级别都列**（按协议要求）。

---

## Critical

无。(无会导致崩溃、静默错误结果、或破坏 baseline 可复现性的问题。)

---

## High

### H1. OVP loss 早期结构性零梯度 + tau=0.05 尖峰（训练动力学，必须处理）
- **位置**: `afd_train.py` `OVPMemory.loss` L124-148；冷启动门控 L130-139；`tau` 默认 L190。
- **机制**: 早期 bank 稀疏(每 pid 每 view 需先被见过才 inited)。经 `own_ok` 过滤后，若某样本的 own-opp 原型存在但**其它 opp 原型几乎都未初始化**，logit 行被 `-inf` 主导；极端只剩 own 一列有效时 `cross_entropy` 在单类上 softmax=1 → **loss≈0 → 零梯度**。我本地脚本已验证此路径(单有效列 CE=0.0，不是 NaN)。
- **后果**: 第 1(几)个 epoch OVP 实际不产生有效监督，但 `meters['ovp']`(L292/301)打印接近 0，**会被误读为"已收敛"**；kill-switch #2 的"ep10 ≥+1.0"判读因此失真。
- **另一面**: `tau=0.05` 把 cos∈[-1,1] 拉到 logits∈[-20,20]。当 ≥2 列有效且原型(EMA of 1-4 样本，L103)还很 noisy 时，若 own 不是 argmax，CE 梯度极尖 → 训练初期对 encoder 注入大梯度。整体 OVP 行为**双峰**(退化≈0 / 尖峰)。
- **要求修改(择一或组合)**：
  a. 给 `ovp_lambda` 或 `tau` 加 **warmup**(例如前 N 个 epoch λ=0 只填 bank、或 tau 从 0.2 退火到 0.05)，避开随机原型尖峰；
  b. **日志增强**：每 iter 额外打印"本 iter 真正贡献 OVP 的样本数 / 有效 opp 列数"，让 monitor.md 能区分"退化 0"与"收敛 0"。按本仓库铁律"日志必须够重(能观察模块塌缩/过强/过弱)"，这一条**强制**。

---

## Medium

### M1. autocast 可能把 OVP matmul 下溢到 fp16，注释"fp32 for numerical safety"不成立
- **位置**: `afd_train.py` L272 注释 + L273-274；`ovp.loss` 内 L141 `z @ protos.t()`。
- **事实**: `ovp.loss(...)` 整个调用在 `with torch.amp.autocast('cuda')`(L260)**上下文内**。`torch.matmul/mm` 在 autocast fp16 op 列表上，即便 `z=F.normalize(bn.float())` 是 fp32，matmul 仍可能被 autocast 降为 fp16。`cross_entropy` 在 fp32 列表上会被升回 fp32，所以 softmax 安全。
- **风险评级**: logits=cos/0.05∈[-20,20]，fp16 max≈65504 → **不溢出**，功能安全。但注释声称的 fp32 精度**未兑现**，在 tau=0.05 的尖锐尺度下精度略降。
- **建议**: 要么把 OVP loss 包进 `with torch.amp.autocast('cuda', enabled=False):`(在 `.float()` 之后)真正走 fp32；要么把注释改成"autocast 下 matmul 可能 fp16，但无溢出"，不要给读代码的人错误保证。

### M2. L281 注释"update AFTER optimizer step"误导（feats 仍是 step 前的）
- **位置**: `afd_train.py` L281-285。
- **事实**: `update` 喂的是 L261 forward 出的**同一个 `bn`**(step 前激活，仅 detach)，并未在 `optimizer.step()` 后重新前向。所以"放到 step 之后"在数值上**什么都没买到**——原型由 iter t 的 step-前特征构建，被 t+1 的 loss 消费（一步陈旧 teacher，符合标准 memory-bank 行为，**无反馈环 bug**）。
- **后果**: 无功能问题，但注释暗示了代码不具备的性质，**未来改动者易被误导**(例如以为这里用了更新后的权重特征)。建议修正注释，或干脆把 update 挪到 forward 之后、step 之前(等价且更直白)。

### M3. OVP loss 用 `total/count` 按"视角组"等权，而非按 batch 样本均值
- **位置**: `afd_train.py` L122-148(`count` 累加 + L148 `total/count`)。
- **事实**: 对 v_opp∈{0,1} 各算一个已 mean-reduce 的 CE，再除以贡献组数(1 或 2)。于是 A→G 与 G→A 两方向**按组等权**，而非按有效样本数加权。某 batch 若一个方向有效样本远多，多数方向被**低权**。
- **评级**: 这看起来是有意的对称设计(两视角方向平权)，可接受，但与朴素"对所有 OVP 贡献样本求均值"不同。**建议在 design.md/注释中显式声明**这是 per-direction 平权，避免日后对 λ 标定产生困惑。

### M4. `from afd_train import ...` 的解析依赖"以脚本方式运行"——换 cwd / 当模块 import 会解析错
- **位置**: `afd_train.py` L53(`sys.path.insert(0,'../afd_reid')`)+ L59(`from afd_train import ...`)。
- **事实**: 我已用 `importlib.util.find_spec` 实测：以 `python3 afd_train.py` 在 `cargo_cvpb/` 运行时，主脚本是 `__main__`，`import afd_train` 命中 `afd_reid/afd_train.py`(✓ 文档命令正确)。**但**这依赖"脚本运行"这一前提：若有人 `cd` 到别处用绝对路径跑、或把本文件当模块 `import`，`sys.path` 顺序可能变，`import afd_train` 有撞回自身的风险(循环 import)。
- **建议**: 低成本加固——把导入改成显式包名(如建个 `__init__.py` 或用 `importlib` 按文件路径加载)，或在 README/run 命令处明确"必须 `cd cargo_cvpb && python3 afd_train.py`"。**当前文档命令安全**，故仅 Medium。

### M5. design.md 是 empirical 涨点导向——novelty 切开经不起查重（方法稿层面）
- **位置**: `design.md` L25-31 "novelty 切开"。
- **子代理联网查重结论**: **likely-prior-art-collision**。
  - **CMPC(CVPR22)**：per-cluster per-modality 原型 + momentum + InfoNCE 把实例拉向**对侧模态**同身份原型、推开其它——与 OVP-Mem loss 近乎逐字同构。差异仅 voice-face↔aerial-ground、无监督↔有监督。
  - **MBCE(AAAI23, VI-ReID)**：modality-aware centroid proxies + momentum memory + cross-modality 对齐——同构，且已在 person ReID 发表。
  - **Hetero-Center loss(VI-ReID)**：per-id per-modality center 对齐的 L2 形式；OVP-Mem 是其 InfoNCE 形式。
  - **PDPA(2025, 同 CARGO)**：已声称"aerial-ground 上 per-perspective prototype alignment + memory bank"，**命名与 framing 已被占**(机制不同：prompt 驱动 + 可学习原型 + 中间空间 bank，故非完全相同)。
- **后果**: design 自我辩护的"global prototype 覆盖 hard tail，不同于 batch CV-triplet"是**通用 memory-bank-vs-batch 论证**(MoCo/SpCL/Cluster-Contrast 以来的标准动机)，**不构成机制 novelty**。
- **要求**: 这是 empirical 探索，跑可以；但**进方法稿前**(design.md L19 的"≥35-36→进方法稿")必须把 OVP-Mem **降级为 auxiliary loss**，真正的 novelty 由别处承担（子代理建议看 Module-2 non-correspondence local set-matching，撞车面更小）。**否则违反 CLAUDE.md 创新门槛 + "不在旧 branch 堆小模块"**。建议在 design.md 显式记一句"OVP-Mem 已知与 CMPC/MBCE/PDPA 高度重叠，仅作 empirical 组件，不作 headline"。

---

## Low

